                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.53865,                0.93527,                0.33951,                 0.8709,                0.98819,                      1,                  0.995,                0.67877,                0.82952,                0.84091,                0.74964,                0.40564,                 1.0088,                 1.5652,                0.42163,                 1.0539,             0.00057778,             0.00057778,             0.00057778
                     69,                0.56903,                 0.9769,                 0.3554,                0.88351,                0.98739,                      1,                  0.995,                0.68816,                0.85143,                0.86364,                0.77086,                0.42641,                0.93175,                 1.4499,                0.41343,                 1.0207,             0.00056128,             0.00056128,             0.00056128
                     70,                0.55296,                0.90759,                0.33697,                0.87759,                0.99336,                      1,                  0.995,                0.69277,                 0.8573,                0.86364,                0.76941,                0.43363,                0.91435,                 1.4155,                0.40156,                 1.0131,             0.00054478,             0.00054478,             0.00054478
                     71,                0.56567,                 0.9071,                0.34924,                0.89285,                0.99615,                      1,                  0.995,                0.71202,                0.76953,                0.77273,                0.65641,                0.41109,                0.99425,                 1.4117,                0.40704,                  1.047,             0.00052827,             0.00052827,             0.00052827
                     72,                0.54849,                0.86801,                 0.3379,                0.87889,                0.99682,                      1,                  0.995,                0.70053,                0.77022,                0.77273,                0.65649,                0.41188,                 1.0522,                 1.4627,                0.40802,                 1.0703,             0.00051177,             0.00051177,             0.00051177
                     73,                 0.5631,                0.98781,                0.34791,                0.89376,                0.99743,                      1,                  0.995,                0.72014,                0.77082,                0.77273,                0.65681,                0.42217,                0.96676,                 1.3343,                0.39704,                 1.0287,             0.00049527,             0.00049527,             0.00049527
                     74,                0.52154,                0.88991,                0.32112,                0.86722,                0.99759,                      1,                  0.995,                0.73948,                0.79361,                0.79545,                 0.6834,                0.43268,                0.86664,                 1.2526,                0.37002,                0.99515,             0.00047876,             0.00047876,             0.00047876
                     75,                0.56598,                 1.0061,                0.35014,                0.89278,                0.99784,                      1,                  0.995,                0.75913,                0.86188,                0.86364,                0.78296,                0.45299,                 0.8421,                 1.2369,                0.36261,                0.98958,             0.00046226,             0.00046226,             0.00046226
                     76,                0.55656,                0.87439,                0.34233,                0.87782,                0.99805,                      1,                  0.995,                0.72047,                0.83936,                0.84091,                0.74739,                0.44203,                0.97215,                 1.3818,                0.37958,                 1.0472,             0.00044576,             0.00044576,             0.00044576
                     77,                0.53194,                0.83786,                0.32295,                0.87259,                0.99805,                      1,                  0.995,                 0.6888,                0.81672,                0.81818,                 0.7185,                0.42491,                 1.0727,                 1.5242,                 0.3998,                 1.0958,             0.00042925,             0.00042925,             0.00042925
                     78,                0.51819,                0.83894,                0.32222,                0.87135,                0.99781,                      1,                  0.995,                0.68468,                 0.8165,                0.81818,                0.71971,                0.43209,                 1.1055,                 1.5953,                0.40528,                 1.1174,             0.00041275,             0.00041275,             0.00041275
                     79,                0.52405,                 0.8381,                0.32333,                0.86372,                0.99734,                      1,                  0.995,                0.74304,                0.86138,                0.86364,                0.81418,                0.45889,                0.96045,                 1.4533,                0.38113,                 1.0412,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.5125,                0.83013,                 0.3164,                0.86232,                 0.9972,                      1,                  0.995,                0.75215,                0.83856,                0.84091,                 0.7754,                0.45229,                0.92435,                 1.4331,                 0.3733,                  1.024,             0.00037974,             0.00037974,             0.00037974
                     81,                0.51905,                 0.9588,                0.31917,                0.86066,                 0.9975,                      1,                  0.995,                0.74043,                0.81618,                0.81818,                0.74444,                0.44725,                0.98946,                 1.5341,                 0.3763,                 1.0545,             0.00036324,             0.00036324,             0.00036324
                     82,                0.51303,                0.89373,                0.31459,                0.87366,                 0.9978,                      1,                  0.995,                   0.72,                0.81645,                0.81818,                0.74352,                0.44471,                 1.0319,                 1.5454,                0.39173,                  1.075,             0.00034674,             0.00034674,             0.00034674
                     83,                0.49096,                0.88058,                0.31314,                0.86001,                0.99805,                      1,                  0.995,                0.71293,                0.83939,                0.84091,                0.77289,                0.45286,                 1.0276,                 1.5337,                0.39063,                 1.0721,             0.00033023,             0.00033023,             0.00033023
                     84,                0.50868,                0.84227,                0.30509,                0.85551,                0.99806,                      1,                  0.995,                0.72741,                0.88479,                0.88636,                  0.845,                0.46693,                0.94475,                 1.4468,                0.36733,                 1.0269,             0.00031373,             0.00031373,             0.00031373
